Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,50,33,14,2,Setosa
2,64,28,56,22,Virginica
3,65,28,46,15,Versicolo
4,67,31,56,24,Virginica
5,63,28,51,15,Virginica
6,46,34,14,3,Setosa
7,69,31,51,23,Virginica
8,62,22,45,15,Versicolo
9,59,32,48,18,Versicolo
10,46,36,10,2,Setosa
11,61,30,46,14,Versicolo
12,60,27,51,16,Versicolo
13,65,30,52,20,Virginica
14,56,25,39,11,Versicolo
15,65,30,55,18,Virginica
16,58,27,51,19,Virginica
17,68,32,59,23,Virginica
18,51,33,17,5,Setosa
19,57,28,45,13,Versicolo
20,62,34,54,23,Virginica
21,77,38,67,22,Virginica
22,63,33,47,16,Versicolo
23,67,33,57,25,Virginica
24,76,30,66,21,Virginica
25,49,25,45,17,Virginica
26,55,35,13,2,Setosa
27,67,30,52,23,Virginica
28,70,32,47,14,Versicolo
29,64,32,45,15,Versicolo
30,61,28,40,13,Versicolo
31,48,31,16,2,Setosa
32,59,30,51,18,Virginica
33,55,24,38,11,Versicolo
34,63,25,50,19,Virginica
35,64,32,53,23,Virginica
36,52,34,14,2,Setosa
37,49,36,14,1,Setosa
38,54,30,45,15,Versicolo
39,79,38,64,20,Virginica
40,44,32,13,2,Setosa
41,67,33,57,21,Virginica
42,50,35,16,6,Setosa
43,58,26,40,12,Versicolo
44,44,30,13,2,Setosa
45,77,28,67,20,Virginica
46,63,27,49,18,Virginica
47,47,32,16,2,Setosa
48,55,26,44,12,Versicolo
49,50,23,33,10,Versicolo
50,72,32,60,18,Virginica
51,48,30,14,3,Setosa
52,51,38,16,2,Setosa
53,61,30,49,18,Virginica
54,48,34,19,2,Setosa
55,50,30,16,2,Setosa
56,50,32,12,2,Setosa
57,61,26,56,14,Virginica
58,64,28,56,21,Virginica
59,43,30,11,1,Setosa
60,58,40,12,2,Setosa
61,51,38,19,4,Setosa
62,67,31,44,14,Versicolo
63,62,28,48,18,Virginica
64,49,30,14,2,Setosa
65,51,35,14,2,Setosa
66,56,30,45,15,Versicolo
67,58,27,41,10,Versicolo
68,50,34,16,4,Setosa
69,46,32,14,2,Setosa
70,60,29,45,15,Versicolo
71,57,26,35,10,Versicolo
72,57,44,15,4,Setosa
73,50,36,14,2,Setosa
74,77,30,61,23,Virginica
75,63,34,56,24,Virginica
76,58,27,51,19,Virginica
77,57,29,42,13,Versicolo
78,72,30,58,16,Virginica
79,54,34,15,4,Setosa
80,52,41,15,1,Setosa
81,71,30,59,21,Virginica
82,64,31,55,18,Virginica
83,60,30,48,18,Virginica
84,63,29,56,18,Virginica
85,49,24,33,10,Versicolo
86,56,27,42,13,Versicolo
87,57,30,42,12,Versicolo
88,55,42,14,2,Setosa
89,49,31,15,2,Setosa
90,77,26,69,23,Virginica
91,60,22,50,15,Virginica
92,54,39,17,4,Setosa
93,66,29,46,13,Versicolo
94,52,27,39,14,Versicolo
95,60,34,45,16,Versicolo
96,50,34,15,2,Setosa
97,44,29,14,2,Setosa
98,50,20,35,10,Versicolo
99,55,24,37,10,Versicolo
100,58,27,39,12,Versicolo
101,47,32,13,2,Setosa
102,46,31,15,2,Setosa
103,69,32,57,23,Virginica
104,62,29,43,13,Versicolo
105,74,28,61,19,Virginica
106,59,30,42,15,Versicolo
107,51,34,15,2,Setosa
108,50,35,13,3,Setosa
109,56,28,49,20,Virginica
110,60,22,40,10,Versicolo
111,73,29,63,18,Virginica
112,67,25,58,18,Virginica
113,49,31,15,1,Setosa
114,67,31,47,15,Versicolo
115,63,23,44,13,Versicolo
116,54,37,15,2,Setosa
117,56,30,41,13,Versicolo
118,63,25,49,15,Versicolo
119,61,28,47,12,Versicolo
120,64,29,43,13,Versicolo
121,51,25,30,11,Versicolo
122,57,28,41,13,Versicolo
123,65,30,58,22,Virginica
124,69,31,54,21,Virginica
125,54,39,13,4,Setosa
126,51,35,14,3,Setosa
127,72,36,61,25,Virginica
128,65,32,51,20,Virginica
129,61,29,47,14,Versicolo
130,56,29,36,13,Versicolo
131,69,31,49,15,Versicolo
132,64,27,53,19,Virginica
133,68,30,55,21,Virginica
134,55,25,40,13,Versicolo
135,48,34,16,2,Setosa
136,48,30,14,1,Setosa
137,45,23,13,3,Setosa
138,57,25,50,20,Virginica
139,57,38,17,3,Setosa
140,51,38,15,3,Setosa
141,55,23,40,13,Versicolo
142,66,30,44,14,Versicolo
143,68,28,48,14,Versicolo
144,54,34,17,2,Setosa
145,51,37,15,4,Setosa
146,52,35,15,2,Setosa
147,58,28,51,24,Virginica
148,67,30,50,17,Versicolo
149,63,33,60,25,Virginica
150,53,37,15,2,Setosa
